competition,season,round_label,round_index,match_key,date,home,away,home_score,away_score,venue,attendance,referee,url_afltables,url_nrl
SOO,1984,Game 3,3,1984-Game 3-Maroons-v-Blues,17-Jul-1984,Maroons,Blues,12,22,Lang Park,16559,Kevin Roberts,https://afltables.com/rl/soo/game11.html,https://www.nrl.com/draw/state-of-origin/1984/game-3/maroons-v-blues/
SOO,1985,Game 1,1,1985-Game 1-Maroons-v-Blues,28-May-1985,Maroons,Blues,2,18,Lang Park,33011,Kevin Roberts,https://afltables.com/rl/soo/game12.html,https://www.nrl.com/draw/state-of-origin/1985/game-1/maroons-v-blues/
SOO,1985,Game 2,2,1985-Game 2-Blues-v-Maroons,11-Jun-1985,Blues,Maroons,21,14,S.C.G.,39068,Barry Gomersall,https://afltables.com/rl/soo/game13.html,https://www.nrl.com/draw/state-of-origin/1985/game-2/blues-v-maroons/
SOO,1985,Game 3,3,1985-Game 3-Maroons-v-Blues,23-Jul-1985,Maroons,Blues,20,6,Lang Park,18825,Barry Gomersall,https://afltables.com/rl/soo/game14.html,https://www.nrl.com/draw/state-of-origin/1985/game-3/maroons-v-blues/
SOO,1986,Game 1,1,1986-Game 1-Maroons-v-Blues,27-May-1986,Maroons,Blues,16,22,Lang Park,33066,Kevin Roberts,https://afltables.com/rl/soo/game15.html,https://www.nrl.com/draw/state-of-origin/1986/game-1/maroons-v-blues/
SOO,1986,Game 2,2,1986-Game 2-Blues-v-Maroons,10-Jun-1986,Blues,Maroons,24,20,S.C.G.,40707,Barry Gomersall,https://afltables.com/rl/soo/game16.html,https://www.nrl.com/draw/state-of-origin/1986/game-2/blues-v-maroons/
SOO,1986,Game 3,3,1986-Game 3-Maroons-v-Blues,1-Jul-1986,Maroons,Blues,16,18,Lang Park,21097,Kevin Roberts,https://afltables.com/rl/soo/game17.html,https://www.nrl.com/draw/state-of-origin/1986/game-3/maroons-v-blues/
SOO,1987,Game 1,1,1987-Game 1-Maroons-v-Blues,2-Jun-1987,Maroons,Blues,16,20,Lang Park,33411,Mick Stone,https://afltables.com/rl/soo/game18.html,https://www.nrl.com/draw/state-of-origin/1987/game-1/maroons-v-blues/
SOO,1987,Game 2,2,1987-Game 2-Blues-v-Maroons,16-Jun-1987,Blues,Maroons,6,12,S.C.G.,42048,Barry Gomersall,https://afltables.com/rl/soo/game19.html,https://www.nrl.com/draw/state-of-origin/1987/game-2/blues-v-maroons/
SOO,1987,Game 3,3,1987-Game 3-Maroons-v-Blues,15-Jul-1987,Maroons,Blues,10,8,Lang Park,32602,Barry Gomersall,https://afltables.com/rl/soo/game20.html,https://www.nrl.com/draw/state-of-origin/1987/game-3/maroons-v-blues/
SOO,1987,Game 4,4,1987-Game 4-Blues-v-Maroons,6-Aug-1987,Blues,Maroons,30,18,Long Beach,12439,Mick Stone,https://afltables.com/rl/soo/game21.html,https://www.nrl.com/draw/state-of-origin/1987/game-4/blues-v-maroons/
SOO,1988,Game 1,1,1988-Game 1-Blues-v-Maroons,17-May-1988,Blues,Maroons,18,26,S.F.S.,26441,Barry Gomersall,https://afltables.com/rl/soo/game22.html,https://www.nrl.com/draw/state-of-origin/1988/game-1/blues-v-maroons/
SOO,1988,Game 2,2,1988-Game 2-Maroons-v-Blues,31-May-1988,Maroons,Blues,16,6,Lang Park,31817,Mick Stone,https://afltables.com/rl/soo/game23.html,https://www.nrl.com/draw/state-of-origin/1988/game-2/maroons-v-blues/
SOO,1988,Game 3,3,1988-Game 3-Blues-v-Maroons,21-Jun-1988,Blues,Maroons,22,38,S.F.S.,16910,Greg McCallum,https://afltables.com/rl/soo/game24.html,https://www.nrl.com/draw/state-of-origin/1988/game-3/blues-v-maroons/
SOO,1989,Game 1,1,1989-Game 1-Maroons-v-Blues,23-May-1989,Maroons,Blues,36,6,Lang Park,33088,Mick Stone,https://afltables.com/rl/soo/game25.html,https://www.nrl.com/draw/state-of-origin/1989/game-1/maroons-v-blues/
SOO,1989,Game 2,2,1989-Game 2-Blues-v-Maroons,14-Jun-1989,Blues,Maroons,12,16,S.F.S.,40000,David Manson,https://afltables.com/rl/soo/game26.html,https://www.nrl.com/draw/state-of-origin/1989/game-2/blues-v-maroons/
SOO,1989,Game 3,3,1989-Game 3-Maroons-v-Blues,28-Jun-1989,Maroons,Blues,36,16,Lang Park,33260,Greg McCallum,https://afltables.com/rl/soo/game27.html,https://www.nrl.com/draw/state-of-origin/1989/game-3/maroons-v-blues/
SOO,1990,Game 1,1,1990-Game 1-Blues-v-Maroons,9-May-1990,Blues,Maroons,8,0,S.F.S.,41235,David Manson,https://afltables.com/rl/soo/game28.html,https://www.nrl.com/draw/state-of-origin/1990/game-1/blues-v-maroons/
SOO,1990,Game 2,2,1990-Game 2-Blues-v-Maroons,30-May-1990,Blues,Maroons,12,6,Olympic,25800,Greg McCallum,https://afltables.com/rl/soo/game29.html,https://www.nrl.com/draw/state-of-origin/1990/game-2/blues-v-maroons/
SOO,1990,Game 3,3,1990-Game 3-Maroons-v-Blues,13-Jun-1990,Maroons,Blues,14,10,Lang Park,31416,David Manson,https://afltables.com/rl/soo/game30.html,https://www.nrl.com/draw/state-of-origin/1990/game-3/maroons-v-blues/
SOO,1991,Game 1,1,1991-Game 1-Maroons-v-Blues,8-May-1991,Maroons,Blues,6,4,Lang Park,32400,Bill Harrigan,https://afltables.com/rl/soo/game31.html,https://www.nrl.com/draw/state-of-origin/1991/game-1/maroons-v-blues/
SOO,1991,Game 2,2,1991-Game 2-Blues-v-Maroons,29-May-1991,Blues,Maroons,14,12,S.F.S.,41520,David Manson,https://afltables.com/rl/soo/game32.html,https://www.nrl.com/draw/state-of-origin/1991/game-2/blues-v-maroons/
SOO,1991,Game 3,3,1991-Game 3-Maroons-v-Blues,12-Jun-1991,Maroons,Blues,14,12,Lang Park,33226,Bill Harrigan,https://afltables.com/rl/soo/game33.html,https://www.nrl.com/draw/state-of-origin/1991/game-3/maroons-v-blues/
SOO,1992,Game 1,1,1992-Game 1-Blues-v-Maroons,6-May-1992,Blues,Maroons,14,6,S.F.S.,40039,David Manson,https://afltables.com/rl/soo/game34.html,https://www.nrl.com/draw/state-of-origin/1992/game-1/blues-v-maroons/
SOO,1992,Game 2,2,1992-Game 2-Maroons-v-Blues,20-May-1992,Maroons,Blues,5,4,Lang Park,31500,Bill Harrigan,https://afltables.com/rl/soo/game35.html,https://www.nrl.com/draw/state-of-origin/1992/game-2/maroons-v-blues/
SOO,1992,Game 3,3,1992-Game 3-Blues-v-Maroons,3-Jun-1992,Blues,Maroons,16,4,S.F.S.,41878,Eddie Ward,https://afltables.com/rl/soo/game36.html,https://www.nrl.com/draw/state-of-origin/1992/game-3/blues-v-maroons/
SOO,1993,Game 1,1,1993-Game 1-Maroons-v-Blues,3-May-1993,Maroons,Blues,10,14,Lang Park,33000,Greg McCallum,https://afltables.com/rl/soo/game37.html,https://www.nrl.com/draw/state-of-origin/1993/game-1/maroons-v-blues/
SOO,1993,Game 2,2,1993-Game 2-Blues-v-Maroons,17-May-1993,Blues,Maroons,16,12,S.F.S.,41895,Eddie Ward,https://afltables.com/rl/soo/game38.html,https://www.nrl.com/draw/state-of-origin/1993/game-2/blues-v-maroons/
SOO,1993,Game 3,3,1993-Game 3-Maroons-v-Blues,31-May-1993,Maroons,Blues,24,12,Lang Park,31500,Greg McCallum,https://afltables.com/rl/soo/game39.html,https://www.nrl.com/draw/state-of-origin/1993/game-3/maroons-v-blues/
SOO,1994,Game 1,1,1994-Game 1-Blues-v-Maroons,23-May-1994,Blues,Maroons,12,16,S.F.S.,41859,Bill Harrigan,https://afltables.com/rl/soo/game40.html,https://www.nrl.com/draw/state-of-origin/1994/game-1/blues-v-maroons/
SOO,1994,Game 2,2,1994-Game 2-Blues-v-Maroons,8-Jun-1994,Blues,Maroons,14,0,M.C.G.,87161,Graham Annesley,https://afltables.com/rl/soo/game41.html,https://www.nrl.com/draw/state-of-origin/1994/game-2/blues-v-maroons/
SOO,1994,Game 3,3,1994-Game 3-Maroons-v-Blues,20-Jun-1994,Maroons,Blues,12,27,Lang Park,40665,Bill Harrigan,https://afltables.com/rl/soo/game42.html,https://www.nrl.com/draw/state-of-origin/1994/game-3/maroons-v-blues/
SOO,1995,Game 1,1,1995-Game 1-Blues-v-Maroons,15-May-1995,Blues,Maroons,0,2,S.F.S.,39841,Eddie Ward,https://afltables.com/rl/soo/game43.html,https://www.nrl.com/draw/state-of-origin/1995/game-1/blues-v-maroons/
SOO,1995,Game 2,2,1995-Game 2-Blues-v-Maroons,31-May-1995,Blues,Maroons,12,20,M.C.G.,52994,Eddie Ward,https://afltables.com/rl/soo/game44.html,https://www.nrl.com/draw/state-of-origin/1995/game-2/blues-v-maroons/
SOO,1995,Game 3,3,1995-Game 3-Maroons-v-Blues,12-Jun-1995,Maroons,Blues,24,16,Lang Park,40189,David Manson,https://afltables.com/rl/soo/game45.html,https://www.nrl.com/draw/state-of-origin/1995/game-3/maroons-v-blues/
SOO,1996,Game 1,1,1996-Game 1-Maroons-v-Blues,20-May-1996,Maroons,Blues,6,14,Lang Park,39348,David Manson,https://afltables.com/rl/soo/game46.html,https://www.nrl.com/draw/state-of-origin/1996/game-1/maroons-v-blues/
SOO,1996,Game 2,2,1996-Game 2-Blues-v-Maroons,3-Jun-1996,Blues,Maroons,18,6,S.F.S.,41955,David Manson,https://afltables.com/rl/soo/game47.html,https://www.nrl.com/draw/state-of-origin/1996/game-2/blues-v-maroons/
SOO,1996,Game 3,3,1996-Game 3-Maroons-v-Blues,17-Jun-1996,Maroons,Blues,14,15,Lang Park,38217,David Manson,https://afltables.com/rl/soo/game48.html,https://www.nrl.com/draw/state-of-origin/1996/game-3/maroons-v-blues/
SOO,1997,Game 1,1,1997-Game 1-Maroons-v-Blues,28-May-1997,Maroons,Blues,6,8,Lang Park,28222,Kelvin Jeffes,https://afltables.com/rl/soo/game49.html,https://www.nrl.com/draw/state-of-origin/1997/game-1/maroons-v-blues/
SOO,1997,Game 2,2,1997-Game 2-Blues-v-Maroons,11-Jun-1997,Blues,Maroons,15,14,M.C.G.,25105,David Manson,https://afltables.com/rl/soo/game50.html,https://www.nrl.com/draw/state-of-origin/1997/game-2/blues-v-maroons/
SOO,1997,Game 3,3,1997-Game 3-Blues-v-Maroons,25-Jun-1997,Blues,Maroons,12,18,S.F.S.,33241,Eddie Ward,https://afltables.com/rl/soo/game51.html,https://www.nrl.com/draw/state-of-origin/1997/game-3/blues-v-maroons/
SOO,1998,Game 1,1,1998-Game 1-Blues-v-Maroons,22-May-1998,Blues,Maroons,23,24,S.F.S.,36070,Bill Harrigan,https://afltables.com/rl/soo/game52.html,https://www.nrl.com/draw/state-of-origin/1998/game-1/blues-v-maroons/
SOO,1998,Game 2,2,1998-Game 2-Maroons-v-Blues,5-Jun-1998,Maroons,Blues,10,26,Lang Park,40447,Bill Harrigan,https://afltables.com/rl/soo/game53.html,https://www.nrl.com/draw/state-of-origin/1998/game-2/maroons-v-blues/
SOO,1998,Game 3,3,1998-Game 3-Blues-v-Maroons,19-Jun-1998,Blues,Maroons,4,19,S.F.S.,38952,Bill Harrigan,https://afltables.com/rl/soo/game54.html,https://www.nrl.com/draw/state-of-origin/1998/game-3/blues-v-maroons/
SOO,1999,Game 1,1,1999-Game 1-Maroons-v-Blues,26-May-1999,Maroons,Blues,9,8,Lang Park,38093,Bill Harrigan,https://afltables.com/rl/soo/game55.html,https://www.nrl.com/draw/state-of-origin/1999/game-1/maroons-vs-blues/
SOO,1999,Game 2,2,1999-Game 2-Blues-v-Maroons,9-Jun-1999,Blues,Maroons,12,8,Stadium_Australia,88336,Steve Clark,https://afltables.com/rl/soo/game56.html,https://www.nrl.com/draw/state-of-origin/1999/game-2/blues-vs-maroons/
SOO,1999,Game 3,3,1999-Game 3-Maroons-v-Blues,23-Jun-1999,Maroons,Blues,10,10,Lang Park,39371,Steve Clark,https://afltables.com/rl/soo/game57.html,https://www.nrl.com/draw/state-of-origin/1999/game-3/maroons-vs-blues/
SOO,2000,Game 1,1,2000-Game 1-Blues-v-Maroons,10-May-2000,Blues,Maroons,20,16,Stadium_Australia,61511,Bill Harrigan,https://afltables.com/rl/soo/game58.html,https://www.nrl.com/draw/state-of-origin/2000/game-1/blues-vs-maroons/
SOO,2000,Game 2,2,2000-Game 2-Maroons-v-Blues,24-May-2000,Maroons,Blues,10,28,Lang Park,38796,Bill Harrigan,https://afltables.com/rl/soo/game59.html,https://www.nrl.com/draw/state-of-origin/2000/game-2/maroons-vs-blues/
SOO,2000,Game 3,3,2000-Game 3-Blues-v-Maroons,7-Jun-2000,Blues,Maroons,56,16,Stadium_Australia,58767,Bill Harrigan,https://afltables.com/rl/soo/game60.html,https://www.nrl.com/draw/state-of-origin/2000/game-3/blues-vs-maroons/
SOO,2001,Game 1,1,2001-Game 1-Maroons-v-Blues,6-May-2001,Maroons,Blues,34,16,Lang Park,38909,Bill Harrigan,https://afltables.com/rl/soo/game61.html,https://www.nrl.com/draw/state-of-origin/2001/game-1/maroons-vs-blues/
SOO,2001,Game 2,2,2001-Game 2-Blues-v-Maroons,10-Jun-2001,Blues,Maroons,26,8,Stadium_Australia,70249,Bill Harrigan,https://afltables.com/rl/soo/game62.html,https://www.nrl.com/draw/state-of-origin/2001/game-2/blues-vs-maroons/
SOO,2001,Game 3,3,2001-Game 3-Maroons-v-Blues,1-Jul-2001,Maroons,Blues,40,14,QE_II,49441,Bill Harrigan,https://afltables.com/rl/soo/game63.html,https://www.nrl.com/draw/state-of-origin/2001/game-3/maroons-vs-blues/
SOO,2002,Game 1,1,2002-Game 1-Blues-v-Maroons,22-May-2002,Blues,Maroons,32,4,Stadium_Australia,55421,Bill Harrigan,https://afltables.com/rl/soo/game64.html,https://www.nrl.com/draw/state-of-origin/2002/game-1/blues-vs-maroons/
SOO,2002,Game 2,2,2002-Game 2-Maroons-v-Blues,5-Jun-2002,Maroons,Blues,26,18,QE_II,47989,Bill Harrigan,https://afltables.com/rl/soo/game65.html,https://www.nrl.com/draw/state-of-origin/2002/game-2/maroons-vs-blues/
SOO,2002,Game 3,3,2002-Game 3-Blues-v-Maroons,26-Jun-2002,Blues,Maroons,18,18,Stadium_Australia,74842,Bill Harrigan,https://afltables.com/rl/soo/game66.html,https://www.nrl.com/draw/state-of-origin/2002/game-3/blues-vs-maroons/
SOO,2003,Game 1,1,2003-Game 1-Maroons-v-Blues,11-Jun-2003,Maroons,Blues,12,25,Lang Park,52429,Bill Harrigan,https://afltables.com/rl/soo/game67.html,https://www.nrl.com/draw/state-of-origin/2003/game-1/maroons-vs-blues/
SOO,2003,Game 2,2,2003-Game 2-Blues-v-Maroons,25-Jun-2003,Blues,Maroons,27,4,Stadium_Australia,79132,Bill Harrigan,https://afltables.com/rl/soo/game68.html,https://www.nrl.com/draw/state-of-origin/2003/game-2/blues-vs-maroons/
SOO,2003,Game 3,3,2003-Game 3-Maroons-v-Blues,16-Jul-2003,Maroons,Blues,36,6,Lang Park,52130,Bill Harrigan,https://afltables.com/rl/soo/game69.html,https://www.nrl.com/draw/state-of-origin/2003/game-3/maroons-vs-blues/
SOO,2004,Game 1,1,2004-Game 1-Blues-v-Maroons,26-May-2004,Blues,Maroons,9,8,Stadium_Australia,68344,Sean Hampstead,https://afltables.com/rl/soo/game70.html,https://www.nrl.com/draw/state-of-origin/2004/game-1/blues-vs-maroons/
SOO,2004,Game 2,2,2004-Game 2-Maroons-v-Blues,16-Jun-2004,Maroons,Blues,22,18,Lang Park,52478,Sean Hampstead,https://afltables.com/rl/soo/game71.html,https://www.nrl.com/draw/state-of-origin/2004/game-2/maroons-vs-blues/
SOO,2004,Game 3,3,2004-Game 3-Blues-v-Maroons,7-Jul-2004,Blues,Maroons,36,14,Stadium_Australia,82487,Paul Simpkins,https://afltables.com/rl/soo/game72.html,https://www.nrl.com/draw/state-of-origin/2004/game-3/blues-vs-maroons/
