scope,season,stat_key,stat_name,anomaly_type,match_label,round_label,entity_label,raw_value,parsed_value,expected_range,notes
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Rams,24,home,215,3.5833333333333335,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Roosters,28,away,187,3.1166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Roosters,28,home,180,3,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Sharks,5,away,188,3.1333333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Sharks,5,home,195,3.25,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Knights v Steelers,21,home,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Dragons,7,away,140,2.3333333333333335,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Knights,18,away,66,66,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Knights,18,home,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Panthers,24,away,71,71,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Rabbitohs,3,away,135,2.25,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Rabbitohs,3,home,150,2.5,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Raiders,22,home,112,1.8666666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Roosters,5,away,57,57,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Sharks,20,away,77,77,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Sharks,20,home,67,67,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Magpies v Warriors,14,away,148,2.466666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Broncos,14,away,113,1.8833333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Broncos,14,home,60,60,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Bulldogs,20,away,80,80,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Cowboys,12,away,152,2.533333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Cowboys,12,home,164,2.7333333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Knights,17,away,185,3.0833333333333335,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Knights,17,home,199,3.316666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Rabbitohs,23,home,84,84,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Raiders,2,away,68,68,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Raiders,2,home,107,1.7833333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Rams,4,away,52,52,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Rams,4,home,94,94,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Roosters,18,away,101,1.6833333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Roosters,18,home,51,51,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Steelers,8,away,78,78,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Steelers,8,home,81,81,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Tigers,10,away,70,70,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Panthers v Tigers,10,home,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Bears,9,away,182,3.033333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Bears,9,home,186,3.1,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Broncos,24,away,139,2.316666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Bulldogs,17,away,114,1.9,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Rabbitohs v Bulldogs,17,home,65,65,stat-specific sanity range,
